smiles,value,source,name,units,params
COC(=O)c1cccc(C)c1,220,Handbook of chemistry and physics 2016,Boiling point,°C,
COC(=O)c1cccc(Cl)c1,229,Handbook of chemistry and physics 2016,Boiling point,°C,
FC(F)F,-82.03,ECHA,Boiling point,°C,
C[C@@H]1CC[C@H](C)S1,142.5,Handbook of chemistry and physics 2016,Boiling point,°C,
Cc1cc(O)nc(O)c1,305,,Boiling point,°C,
ICI,182,Handbook of chemistry and physics 2016,Boiling point,°C,
Nc1ccc(Cl)c(Cl)c1Cl,292,GESTIS,Boiling point,°C,
Nc1cccc(C(F)(F)F)c1,191.13,ECHA,Boiling point,°C,
Nc1ccccn1,210,GESTIS,Boiling point,°C,
N#Cc1cccc(C#N)c1,275,ECHA,Boiling point,°C,
N#Cc1cccnc1,206.9,ECHA,Boiling point,°C,
NCc1ccncc1,230,Handbook of chemistry and physics 2016,Boiling point,°C,
NCCc1ccc(O)c(O)c1,227,,Boiling point,°C,
N=C(Nc1ccccc1)Nc1ccccc1,250,ECHA,Boiling point,°C,
Oc1ccccc1-c1ccccc1,287,ECHA,Boiling point,°C,
Oc1ccc(Cl)cc1Cl,211,ECHA,Boiling point,°C,
Oc1ccc2ncccc2c1,360,Handbook of chemistry and physics 2016,Boiling point,°C,
O=c1cccccc1O,243.4,ECHA,Boiling point,°C,
Oc1cccc(I)c1,186,AAT Bioquest,Boiling point,°C,
Oc1ccc(Cl)c(Cl)c1,253,Handbook of chemistry and physics 2016,Boiling point,°C,
Oc1cccc(Br)c1,235.5,GESTIS,Boiling point,°C,
Oc1cc(Cl)c(Cl)c(Cl)c1,275,GESTIS,Boiling point,°C,
Oc1c(Cl)ccc(Cl)c1Cl,253,GESTIS,Boiling point,°C,
Oc1c(Cl)cc(Cl)cc1Cl,246,GESTIS,Boiling point,°C,
Oc1c(F)c(F)c(F)c(F)c1F,145.1,Handbook of chemistry and physics 2016,Boiling point,°C,
OC(c1ccccc1)c1ccccc1,297.5,GESTIS,Boiling point,°C,
O=Cc1ccccn1,182.9,ECHA,Boiling point,°C,
OCCCc1ccncc1,289,AAT Bioquest,Boiling point,°C,
O=C(O)C(Cl)Cl,194,ECHA,Boiling point,°C,
O=[N+]([O-])c1cccc(Cl)c1Cl,257.5,GESTIS,Boiling point,°C,
O=[N+]([O-])c1ccc(Nc2ccccc2)cc1,211,GESTIS,Boiling point,°C,
O=S(=O)(c1ccccc1)c1ccccc1,378,ECHA,Boiling point,°C,
Cc1ccc(/C=N/c2ccccc2)cc1,320,,Boiling point,°C,
CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12,201,,Boiling point,°C,
C[C@]12C=C(C=O)C(=O)C=C1CC[C@@H]1[C@@H]2[C@H](O)C[C@@]2(C)[C@H]1CC[C@]2(C)O,543.6,,Boiling point,°C,
CCC[C@H]1CC[C@H](c2ccc(-c3cccc(F)c3)cc2)CC1,403,ECHA,Boiling point,°C,
CC[C@@H]1CCC[C@@H]1CC,153,,Boiling point,°C,
O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,175,,Boiling point,°C,
C=C[C@H]1C[N@@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccccc12,464.5,ECHA,Boiling point,°C,
CCOC(=O)[N-]c1c[n+](N2CCOCC2)no1,317,,Boiling point,°C,
C=C[C@H]1C[N@@]2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,495.9,ECHA,Boiling point,°C,
Cc1cc(Cl)cc(I)c1,241.5,,Boiling point,°C,
CCOCC(C)OCC,123.9,ECHA,Boiling point,°C,
CO[Si](OC)(C1CCCC1)C1CCCC1,260,ECHA,Boiling point,°C,
COC(=O)c1ccccc1-c1ccccc1,308,,Boiling point,°C,
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)C1(F)F,143.5,,Boiling point,°C,
O=S(=O)(O)C(F)(F)C(F)(F)F,174.33333,,Boiling point,°C,
N[C@@H]1CCC[C@H]1O,205.5,,Boiling point,°C,
CCC1(COCC2(CC)COC2)COC1,290,ECHA,Boiling point,°C,
CC(C)COC(=O)[C@@H](C)O,182,ECHA,Boiling point,°C,
CCC(CC)CC1(C(=O)O)CCCCC1,306,ECHA,Boiling point,°C,
Cc1cc(-c2ccccc2)n(-c2ccccc2)n1,335,,Boiling point,°C,
COc1ccc(-c2cc(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc1O,926.8,,Boiling point,°C,
CC(C)=CCC/C(C)=C/COC=O,233,ECHA,Boiling point,°C,
COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC/C=C/c2ccccc2)C1c1cccc([N+](=O)[O-])c1,653,,Boiling point,°C,
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,838.63,,Boiling point,°C,
CCC/C=C\CCC,122.6,Handbook of chemistry and physics 2016,Boiling point,°C,
C/C=C/CCCCC,124.9,Handbook of chemistry and physics 2016,Boiling point,°C,
CCC/C=C/C(C)C,112,10.1186/s13321-024-00895-0,Boiling point,°C,
CCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2C)n(CC)c1=O,601,,Boiling point,°C,
BN1CCCCC1,202,,Boiling point,°C,
O=C(Cl)/C=C/c1ccccc1,257.5,Handbook of chemistry and physics 2016,Boiling point,°C,
C=CCOC(=O)/C=C\C(=O)OCC=C,111,GESTIS,Boiling point,°C,
CCCCCCCC/C=C\CCCCCCCC(=O)OCC,357,Handbook of chemistry and physics 2016,Boiling point,°C,
C1=C\C=C/CC\C=C/1,144,Handbook of chemistry and physics 2016,Boiling point,°C,
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OCC,357,Handbook of chemistry and physics 2016,Boiling point,°C,
Cl/C=C/[As](Cl)Cl,183.2,GESTIS,Boiling point,°C,
CCc1c(Cl)c(O)c(Cl)c(O)c1C(=O)O[C@H]1[C@H](O)[C@H](OC)[C@H](OC/C2=C\C=C\C[C@H](O)/C(C)=C/[C@H](CC)[C@@H](O[C@@H]3OC(C)(C)[C@@H](OC(=O)C(C)C)[C@H](O)[C@@H]3O)/C(C)=C/C(C)=C/C[C@@H]([C@@H](C)O)OC2=O)O[C@@H]1C,1046.4,,Boiling point,°C,
COc1ccc(C[C@@H](C)N)cc1S(N)(=O)=O,244.5,ECHA,Boiling point,°C,
C[C@@H]1C[C@@H](O)CC(C)(C)C1=O,250.2,ECHA,Boiling point,°C,
O=C(O)CCCCC(=O)Cc1ccccc1,338,,Boiling point,°C,
FC(F)(F)C1=C(C(F)(F)F)C1(F)F,11.5,,Boiling point,°C,
CCC[Ge](F)(CCC)CCC,206,,Boiling point,°C,
CCCCCCOc1ccc(C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1OCCCCCC,400,ECHA,Boiling point,°C,
C[Si](C)(C)N([Si](C)(C)C)[Si](Cl)(Cl)Cl,231,,Boiling point,°C,
Cc1ccccc1CCl,203,ECHA,Boiling point,°C,
CCC(C)C(C)O,132.5,GESTIS,Boiling point,°C,
ClCCCCCCl,180,GESTIS,Boiling point,°C,
OCCOCCCl,194,Handbook of chemistry and physics 2016,Boiling point,°C,
c1ccc2[nH]c(-c3cscn3)nc2c1,305,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(C)(O)C#N,82,GESTIS,Boiling point,°C,
Cc1ccc([N+](=O)[O-])c(C)c1,244,GESTIS,Boiling point,°C,
CCc1ccccc1Cl,177,Handbook of chemistry and physics 2016,Boiling point,°C,
CN1CCN(C)CC1,131,ECHA,Boiling point,°C,
CC(C)OC(=O)Cl,105,ECHA,Boiling point,°C,
O=C(F)C(F)(F)C(F)(F)F,-26,,Boiling point,°C,
CCCCCCCCCCCCCCN(C)C,300,ECHA,Boiling point,°C,
CCCCCC(C)CO,175,,Boiling point,°C,
C[C@]12CC[C@H]3C(=CCc4cc(O)ccc43)[C@@H]1CCC2=O,170,Handbook of chemistry and physics 2016,Boiling point,°C,
Cc1cc(C)c(-c2c(C)cc(C)cc2C)c(C)c1,296.5,,Boiling point,°C,
CN(C)C(=O)Cl,167,GESTIS,Boiling point,°C,
C=CCCC,29.96,ECHA,Boiling point,°C,
CCCCN,77,ECHA,Boiling point,°C,
SCCCS,172.9,Handbook of chemistry and physics 2016,Boiling point,°C,
CCON=O,17,GESTIS,Boiling point,°C,
CCCC1CCCCN1,169.5,,Boiling point,°C,
FC(F)(Cl)C(Cl)Cl,71.9,Handbook of chemistry and physics 2016,Boiling point,°C,
Cc1cccc(O)c1O,248,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(O)CC(=O)O,119,GESTIS,Boiling point,°C,
O=C(CO)CO,188,ECHA,Boiling point,°C,
CCC=CCC=CCC=CCCCCCCCC(=O)O,231,AAT Bioquest,Boiling point,°C,
C1CCSC1,121,ECHA,Boiling point,°C,
CNNC,81,GESTIS,Boiling point,°C,
ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,145,AAT Bioquest,Boiling point,°C,
CC(C)(C)NCC(O)CSc1nc(-c2ccc(C(N)=O)s2)cs1,599,,Boiling point,°C,
CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1,167.5,AAT Bioquest,Boiling point,°C,
Cc1cc(O)cc(C)c1Cl,246,GESTIS,Boiling point,°C,
CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,112,,Boiling point,°C,
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,200,AAT Bioquest,Boiling point,°C,
CC(C)c1cccc(O)c(=O)c1,137,Handbook of chemistry and physics 2016,Boiling point,°C,
Cc1cc([N+](=O)[O-])ccc1N,300,ECHA,Boiling point,°C,
COc1ccc(C(=O)c2ccccc2)c(O)c1,315,GESTIS,Boiling point,°C,
Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1,449.1,Guidechem,Boiling point,°C,
CCCCCCCCCCCCCCCCCC(=O)O,385.8,ECHA,Boiling point,°C,
CC(C)(Cl)[N+](=O)[O-],134,,Boiling point,°C,
O=Cc1cccnc1,89.5,AAT Bioquest,Boiling point,°C,
c1ccc(Nc2ccc(Nc3ccccc3)cc2)cc1,331.2,ECHA,Boiling point,°C,
CC(C)S,55,ECHA,Boiling point,°C,
COC(C)(C)OC,83,GESTIS,Boiling point,°C,
CC[N+](CC)(CC)CC.[OH-],102,GESTIS,Boiling point,°C,
CCC(C)(O)CCCC(C)C,197,ECHA,Boiling point,°C,
CN(C)CCC(c1ccc(Br)cc1)c1ccccn1,150,Handbook of chemistry and physics 2016,Boiling point,°C,
Cc1cc(S(=O)(=O)O)c(N)cc1Cl,393.55,ECHA,Boiling point,°C,
O=C1CCCCC1C1CCCCC1,264,Handbook of chemistry and physics 2016,Boiling point,°C,
O=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,353,Handbook of chemistry and physics 2016,Boiling point,°C,
O=C(c1ccccc1)c1ccccn1,317,Handbook of chemistry and physics 2016,Boiling point,°C,
Cc1c(N=C=O)cccc1N=C=O,133,ECHA,Boiling point,°C,
COc1ccccc1NC(C)=O,304,Handbook of chemistry and physics 2016,Boiling point,°C,
O=C(OCc1ccccc1)c1ccc(O)cc1,354.87,ECHA,Boiling point,°C,
Cc1cc(O)c(C(C)(C)C)cc1Sc1cc(C(C)(C)C)c(O)cc1C,378,ECHA,Boiling point,°C,
CC(C)C(=O)OC(=O)C(C)C,182.9,ECHA,Boiling point,°C,
CCN(CC)CCO,162.36,ECHA,Boiling point,°C,
C=CC1CC=CCC1,129,ECHA,Boiling point,°C,
CC(C)Nc1ccc(Nc2ccccc2)cc1,312,GESTIS,Boiling point,°C,
c1ccc(Cc2ccccn2)cc1,277,Handbook of chemistry and physics 2016,Boiling point,°C,
ClCc1ccc(Cl)c(Cl)c1,241,Handbook of chemistry and physics 2016,Boiling point,°C,
C=CC(=O)OCC(CC)CCCC,215,ECHA,Boiling point,°C,
c1ccc(CNCc2ccccc2)cc1,300,ECHA,Boiling point,°C,
CCCCCCCCCCc1ccccc1,298,GESTIS,Boiling point,°C,
CN(CCO)CCO,243.3,ECHA,Boiling point,°C,
CC(C)=CCC[C@H](C)CCO,223.8,ECHA,Boiling point,°C,
C=CCN,58,ECHA,Boiling point,°C,
CC(C)=CC(C)(C)C,105,GESTIS,Boiling point,°C,
C=CC(=O)NC(C)(C)C,240,ECHA,Boiling point,°C,
O=C1CCCC(=O)O1,290.5,GESTIS,Boiling point,°C,
C=Cc1cccc(C=C)c1,200,GESTIS,Boiling point,°C,
CC(C)(O)CCC(C)(C)O,217.5,ECHA,Boiling point,°C,
CC(=O)OOC(C)=O,63,GESTIS,Boiling point,°C,
CCCCCS,127,GESTIS,Boiling point,°C,
CCSCCO,184.5,ECHA,Boiling point,°C,
CCCCCCCCCCCC(=O)OC,261.85,ECHA,Boiling point,°C,
CCCCCCCCCCCC(=O)Cl,268.17,ECHA,Boiling point,°C,
CCCCCCCCCCC(=O)O,280,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCCCCCCCCCCCCCC(=O)Cl,159,GESTIS,Boiling point,°C,
CCCCCCCCCCCCCCCCCCCCCC(=O)O,420,ECHA,Boiling point,°C,
CCCCCCCCC=CCCCCCCCCN,147,AAT Bioquest,Boiling point,°C,
Nc1ccc(-c2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,638.25,ECHA,Boiling point,°C,
O=C(OCc1ccccc1)c1ccccc1O,322,ECHA,Boiling point,°C,
O=C(c1ccc(O)cc1O)c1ccc(O)cc1O,491,PubChem,Boiling point,°C,
C=C(C)C1CCC(C)(O)CC1,210,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(C)(O)C#CC(C)(C)O,205,ECHA,Boiling point,°C,
CCCCCCCCCCCCBr,276,GESTIS,Boiling point,°C,
CCCCCCNCCCCCC,236,GESTIS,Boiling point,°C,
c1ccc2c(c1)cc1ccc3c4ccccc4cc4ccc2c1c43,596,,Boiling point,°C,
c1cc2c3c(c1)ccc1cccc(c13)C2,353,,Boiling point,°C,
c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,481,PubChem,Boiling point,°C,
c1cnc2c(c1)-c1cccc3cccc-2c13,397,,Boiling point,°C,
CN[C@@H](C)[C@H](O)c1ccccc1,260,GESTIS,Boiling point,°C,
O=C=Nc1cccc(C(F)(F)F)c1,174,ECHA,Boiling point,°C,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,82.5,Handbook of chemistry and physics 2016,Boiling point,°C,
Fc1ccc(Cl)cc1,130,Handbook of chemistry and physics 2016,Boiling point,°C,
Fc1ccc(I)cc1,183,Handbook of chemistry and physics 2016,Boiling point,°C,
COS(=O)(=O)F,93,Handbook of chemistry and physics 2016,Boiling point,°C,
FCC(F)F,3.5,Handbook of chemistry and physics 2016,Boiling point,°C,
CN(C)c1ccc(C(=N)c2ccc(N(C)C)cc2)cc1,330.5,AAT Bioquest,Boiling point,°C,
CC(=O)C(Cl)Cl,117.5,GESTIS,Boiling point,°C,
CCOC(O)C(Cl)(Cl)Cl,115.5,Handbook of chemistry and physics 2016,Boiling point,°C,
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,245,ECHA,Boiling point,°C,
c1cc(-c2ccncc2)ccn1,305,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(=O)F,22,Handbook of chemistry and physics 2016,Boiling point,°C,
Cc1ccc2c(C)cccc2c1,264,GESTIS,Boiling point,°C,
Brc1ccccc1I,257,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(C)=C1CCC(C)(O)CC1,218,PubChem,Boiling point,°C,
CCCCOC(=O)CC(C)=O,209.5,,Boiling point,°C,
CC(C)CCC(C)C,109,GESTIS,Boiling point,°C,
C=CCSCC=C,138,GESTIS,Boiling point,°C,
CC(C)C(O)C(C)C,140,GESTIS,Boiling point,°C,
O=C1c2ccccc2C(=O)c2c1cc(O)c(O)c2O,290,Handbook of chemistry and physics 2016,Boiling point,°C,
Cc1ccccc1-c1ccccc1C,258,Handbook of chemistry and physics 2016,Boiling point,°C,
COC(=O)c1ccccc1C(=O)c1ccccc1,360,ECHA,Boiling point,°C,
CC(c1ccccc1)c1ccccc1,312,ECHA,Boiling point,°C,
Cc1ccc2nc[nH]c2c1,170.5,,Boiling point,°C,
CCN(C)CC,65,GESTIS,Boiling point,°C,
CC[SiH](CC)CC,109,ECHA,Boiling point,°C,
CCOc1ccc(C(=O)O)cc1,254.38,ECHA,Boiling point,°C,
CCCCCC(C)(C)O,173,Handbook of chemistry and physics 2016,Boiling point,°C,
Cc1cccc(I)c1,218,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCCCC(=O)OCCCC,204,Handbook of chemistry and physics 2016,Boiling point,°C,
CCC=CC(=O)O,197.5,,Boiling point,°C,
CCCCCCCCCCC(=O)OCC,261,GESTIS,Boiling point,°C,
CC[Si](CC)(CC)CC,153.4,Handbook of chemistry and physics 2016,Boiling point,°C,
CCOC(=O)c1ccc(C(=O)OCC)cc1,302,Handbook of chemistry and physics 2016,Boiling point,°C,
Clc1ccc(I)cc1,226,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCCCCCCCCCCC(=O)O,311,,Boiling point,°C,
CCCCCCCCCCCCCCCCCCCCCCC,381,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,449.7,AAT Bioquest,Boiling point,°C,
CCCCCCCCCCCCCCCCCCCCCCCC,391,Handbook of chemistry and physics 2016,Boiling point,°C,
CO[Si](OC)(OC)OC,122,ECHA,Boiling point,°C,
C[As](C)C#N,162,,Boiling point,°C,
C#CC=C,5,GESTIS,Boiling point,°C,
CCCCCCCCCCCCCCCCCCOC(=O)CCSCCC(=O)OCCCCCCCCCCCCCCCCCC,250,AAT Bioquest,Boiling point,°C,
C=C(C)C(=O)OC(=O)C(=C)C,197,ECHA,Boiling point,°C,
Fc1c(F)c(F)c(S)c(F)c1F,143,Handbook of chemistry and physics 2016,Boiling point,°C,
C[Si](O[Si](C)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,418,,Boiling point,°C,
FC(F)C(F)(Cl)Cl,30.2,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCCCCC(Cl)Cl,191,AAT Bioquest,Boiling point,°C,
Cc1cc(Cc2ccc(N)c(C)c2)ccc1N,235,ECHA,Boiling point,°C,
N#Cc1ccc(N)cc1,325.1,ECHA,Boiling point,°C,
C#CC(C)(C)C,38,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCCCCCCCCCl,223,GESTIS,Boiling point,°C,
CCCCCC(C)(C)C,133,Handbook of chemistry and physics 2016,Boiling point,°C,
O=C(O)c1cnc[nH]1,294,AAT Bioquest,Boiling point,°C,
CCCCCCCC(=O)N(C)C,260.8,ECHA,Boiling point,°C,
CCCCCCCCC(C)O,208.5,,Boiling point,°C,
CCCCOc1ccccc1,210,ECHA,Boiling point,°C,
ON=C1CCCC1,196,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCCCCCCCCCC(=O)OCC(O)CO,186,ECHA,Boiling point,°C,
Clc1ccc(Cl)c(Br)c1,235,,Boiling point,°C,
OC1CCCCC1c1ccccc1,228,AAT Bioquest,Boiling point,°C,
Nc1ccccc1-c1ccccc1N,162,AAT Bioquest,Boiling point,°C,
CCCCCCCCCCCCCCCCCO,333,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCCCCCCCCCCCC(C)C,280,,Boiling point,°C,
C1CCSCC1,141.73,Handbook of chemistry and physics 2016,Boiling point,°C,
FC(F)(Cl)CCl,46.8,GESTIS,Boiling point,°C,
C=CC(=O)OC(C)(C)C,119.2,ECHA,Boiling point,°C,
CC(=O)c1c(C)cc(C)cc1C,241,Handbook of chemistry and physics 2016,Boiling point,°C,
Cc1ccc2c(c1)CCCC2,229,Handbook of chemistry and physics 2016,Boiling point,°C,
N#Cc1cc(Br)c(O)c(Br)c1,318.2,GESTIS,Boiling point,°C,
Cc1nccc2ccccc12,252,Handbook of chemistry and physics 2016,Boiling point,°C,
C=CCc1ccccc1O,220,Handbook of chemistry and physics 2016,Boiling point,°C,
CCc1cc(C)ccc1C,186,Handbook of chemistry and physics 2016,Boiling point,°C,
OCCSSCCO,160.5,,Boiling point,°C,
CC(C)c1ccc2ccccc2c1,268,Handbook of chemistry and physics 2016,Boiling point,°C,
CCC(C)(C)c1ccccc1,197,ECHA,Boiling point,°C,
ClC1(Cl)CCCCC1,171,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(=O)c1cccc(Br)c1,133,AAT Bioquest,Boiling point,°C,
CC(C)COc1ccc2ccccc2c1,297.9,ECHA,Boiling point,°C,
C=CC=CC=C,79,,Boiling point,°C,
C=C(C)[C@H]1CC=C(C)C(=O)C1,233.9,ECHA,Boiling point,°C,
Cc1ccc2ccc3cccc4ccc1c2c34,410,GESTIS,Boiling point,°C,
CCCCCCCCCCCCCC(CCCCCC)c1ccccc1,406,,Boiling point,°C,
CCCCCCCCCCCCCCCCCCCCc1ccccc1,424,,Boiling point,°C,
Cc1cnc2ccccc2c1C,290,,Boiling point,°C,
NCC1CCCC(CN)C1,220,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCCCCCC,546.25,ECHA,Boiling point,°C,
CCCCCCCCCCC1CO1,246.1,ECHA,Boiling point,°C,
CCCCCCC(C)S,186,,Boiling point,°C,
N#CCCN1CCCCC1,233,,Boiling point,°C,
NC1CCC(N)CC1,119.5,GESTIS,Boiling point,°C,
CCC=C(C)C(=O)O,213,,Boiling point,°C,
CC(Cl)(Cl)CCl,123,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(C)(C)C1CCCCC1,171,GESTIS,Boiling point,°C,
C=C(C)C(=O)OCCCCCCCCCC,280,ECHA,Boiling point,°C,
Oc1cccnc1-c1ccccc1,320,,Boiling point,°C,
C=C(CC)C(=O)O,179.5,,Boiling point,°C,
COC(=O)c1ccc(O)c(OC)c1,286,Handbook of chemistry and physics 2016,Boiling point,°C,
CCC(O)C(C)(C)C,136,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(C)(C)c1ccncc1,197,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(=O)C(C)Cl,115.083336,,Boiling point,°C,
CC=CC=O,102.2,ECHA,Boiling point,°C,
CC1CCC(C)(C)C1,104.9,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCCCCCCCCCCC(C)c1ccccc1,327,,Boiling point,°C,
CCN1C(=O)c2ccccc2C1=O,285.5,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCCOCC(C)O,171,ECHA,Boiling point,°C,
CN(C)c1ccccn1,196,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCCCCCCCCCCCCCCCCCCCC(=O)OCC,240,AAT Bioquest,Boiling point,°C,
C#CCCC(=O)O,110,Handbook of chemistry and physics 2016,Boiling point,°C,
C=C(C)CCCC,92,Handbook of chemistry and physics 2016,Boiling point,°C,
OC1CCc2ccccc21,220,Handbook of chemistry and physics 2016,Boiling point,°C,
Cc1ccc(C)c2c1CCC2,227,,Boiling point,°C,
CCCCCCCCCCCCCCCCCCCCCC1CCCC1,423,,Boiling point,°C,
CC1Cc2ccccc2N1,228.5,GESTIS,Boiling point,°C,
O=C(Cl)c1ccccc1Br,238,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,512,AAT Bioquest,Boiling point,°C,
Oc1ccccc1Cc1ccccc1,312,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(C=Cc1ccccc1)c1ccccc1,311,AAT Bioquest,Boiling point,°C,
CC(CC(C)(C)C)CC(C)(C)C,192,ECHA,Boiling point,°C,
CCOC(=O)NC(C)(C)Cc1ccc(Cl)cc1,89,AAT Bioquest,Boiling point,°C,
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1,727.4,,Boiling point,°C,
CC=NN(C)C=O,143,PubChem,Boiling point,°C,
COc1cc(Cl)ccc1O,242,,Boiling point,°C,
C[Si](C)(C)O[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C,180,GESTIS,Boiling point,°C,
c1ccc(OCC2CO2)cc1,245,ECHA,Boiling point,°C,
CCCCCCCCCCCCCc1ccccc1,340,Handbook of chemistry and physics 2016,Boiling point,°C,
C=CCOC(=O)CCCCC,186.8,ECHA,Boiling point,°C,
CC(C)(CO)CO,209.39,ECHA,Boiling point,°C,
CCC[Si](OC)(OC)OC,133,ECHA,Boiling point,°C,
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,321,GESTIS,Boiling point,°C,
CCCCCCCCn1sccc1=O,342,ECHA,Boiling point,°C,
Cc1c(Br)cc(Br)cc1Br,290,AAT Bioquest,Boiling point,°C,
CCC1OC(C)=C(O)C1=O,238.6,ECHA,Boiling point,°C,
CC1CCCC2CCCCC12,212,,Boiling point,°C,
CCc1cccc(O)c1C,227,10.1186/s13321-024-00895-0,Boiling point,°C,
c1ccc2cc3c(cc2c1)CCCC3,323,,Boiling point,°C,
CCCCCCc1ccc(N)cc1,279,AAT Bioquest,Boiling point,°C,
CCCCCCCSC,195,,Boiling point,°C,
C/C=C/c1ccccc1,173.75,GESTIS,Boiling point,°C,
O=C(CCCCl)c1ccccc1,131,Handbook of chemistry and physics 2016,Boiling point,°C,
C=C(C)c1ccc(OC)cc1,221,,Boiling point,°C,
CCCCCCCNCCO,251.5,,Boiling point,°C,
O=C(O)c1ccc(C2CC2)cc1,161.5,,Boiling point,°C,
O=C(O)c1cc(=O)c2cc(O)ccc2[nH]1,455.6,Guidechem,Boiling point,°C,
CC(C)Oc1ccc2ccccc2c1,288,,Boiling point,°C,
CC(=NO)C(C)C,154.25,,Boiling point,°C,
CC1=NCC(C)(C)O1,117,,Boiling point,°C,
CC1C2CCC(C2)C1(C)C,164.5,,Boiling point,°C,
COC(=O)CCc1ccc(OC)cc1,278,,Boiling point,°C,
CC[Sn](C#N)(CC)CC,249,,Boiling point,°C,
C=COc1c(Cl)cc(Cl)cc1Cl,230.5,,Boiling point,°C,
C/C=C/C=O,102,GESTIS,Boiling point,°C,
CCOC(=O)CN=C(c1ccccc1)c1ccccc1,195,ECHA,Boiling point,°C,
C=CC(O)C(=O)OC,178.1,ECHA,Boiling point,°C,
CCCCCCCCCCCCCC(=O)OCC1CO1,310,,Boiling point,°C,
N#CC(=O)C#N,65.5,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCCCCOC(=O)CCCCCC,260,,Boiling point,°C,
CC(C)=CCCC=C(C)C,157.66667,,Boiling point,°C,
COC(=O)c1cccc(C(F)(F)F)c1,198.9,ECHA,Boiling point,°C,
CCCCCCCCc1ccc2ccccc2c1,355,10.1186/s13321-024-00895-0,Boiling point,°C,
