smiles,value,source,name,units,params
C=CCc1ccc(O)cc1,238,Handbook of chemistry and physics 2016,Boiling point,°C,
C1CNCCNC1,169,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(C)(CCl)c1ccccc1,227,ECHA,Boiling point,°C,
Cc1ccc(O)c(C)c1C,236,Handbook of chemistry and physics 2016,Boiling point,°C,
CN1c2ccccc2C(NCCCCCCC(=O)O)c2ccc(Cl)cc2S1(=O)=O,609.2,,Boiling point,°C,
CCC(C)(C)N,77,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(=O)OC(OC(C)=O)c1ccco1,220,Handbook of chemistry and physics 2016,Boiling point,°C,
Cc1ccc(Nc2ccc(C)cc2)cc1,330.5,Handbook of chemistry and physics 2016,Boiling point,°C,
Cc1cccc(N=C=S)c1,240,,Boiling point,°C,
[N-]=[N+]=Nc1ccccc1,70,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCc1ccccn1,170,Handbook of chemistry and physics 2016,Boiling point,°C,
CCOc1ccc(Cl)cc1,212,Handbook of chemistry and physics 2016,Boiling point,°C,
OCc1cccc(CO)c1,156,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCCCCCCCCCCCCCC#N,333,Handbook of chemistry and physics 2016,Boiling point,°C,
FC(F)(F)C(F)(Br)C(F)(F)Br,72.8,Handbook of chemistry and physics 2016,Boiling point,°C,
Oc1c(F)c(F)cc(F)c1F,145.5,,Boiling point,°C,
N[C@@H](C(=O)O)c1ccccc1,366,ECHA,Boiling point,°C,
C=C(Cl)C#N,88.5,GESTIS,Boiling point,°C,
O=C(O)CCc1ccco1,229,AAT Bioquest,Boiling point,°C,
CCCCCC(=O)c1ccccc1,265,Handbook of chemistry and physics 2016,Boiling point,°C,
c1ccc(-c2ccc(-c3ccccc3)o2)cc1,344,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(=O)N[C@@H](CCC(=O)O)C(=O)O,495.9,Guidechem,Boiling point,°C,
CC(C(=O)c1ccccc1)N(C)C,106,,Boiling point,°C,
O=C(O)CCCCCCCCCCCCC1C=CCC1,247.5,AAT Bioquest,Boiling point,°C,
CCOc1ccc(C(C)=O)cc1,268,Handbook of chemistry and physics 2016,Boiling point,°C,
Cc1cccc(O)c1C(C)C,229,,Boiling point,°C,
COC(=O)CC(O)(CC(=O)OC)C(=O)OC,281.49,ECHA,Boiling point,°C,
CC1(C)CC1,21,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCCCCCC(=O)c1ccccc1,300,Handbook of chemistry and physics 2016,Boiling point,°C,
C=C(C)c1ccc(Cl)cc1,214,,Boiling point,°C,
Cc1cc2ccccc2c(C)n1,262,,Boiling point,°C,
O=C(OCCOC(=O)c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O,400,ECHA,Boiling point,°C,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,162,ECHA,Boiling point,°C,
C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,210,ECHA,Boiling point,°C,
CC=C1CCCC1,112.375,,Boiling point,°C,
CCCP(CCC)CCC,187,,Boiling point,°C,
O=C(Cl)c1ccc2ccccc2c1,305,Handbook of chemistry and physics 2016,Boiling point,°C,
C[Si]1(C)CCC1,80,,Boiling point,°C,
CC1(C)CC(O)CC(C)(C)N1,215,ECHA,Boiling point,°C,
CN1C(C)(C)CC(O)CC1(C)C,238,ECHA,Boiling point,°C,
O=C(O)CCCCCCCCCCCCCCCCCCC(=O)O,233,Handbook of chemistry and physics 2016,Boiling point,°C,
C[Si](C)(Cl)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)Cl,222,,Boiling point,°C,
NCCCCCO,221.5,Handbook of chemistry and physics 2016,Boiling point,°C,
Nc1cc(C(=O)O)ccc1Cl,250,ECHA,Boiling point,°C,
O=C1CCCCCCCC1,49,,Boiling point,°C,
COc1ccc2cc(C=O)ccc2c1,320.25,ECHA,Boiling point,°C,
O=C=NS(=O)(=O)N=C=O,139,,Boiling point,°C,
C[Si](C)(C)OB(O[Si](C)(C)C)O[Si](C)(C)C,183,,Boiling point,°C,
Cc1ccc(O)c(C(C)C)c1,231,Handbook of chemistry and physics 2016,Boiling point,°C,
COc1cccc(C)c1OC,205,,Boiling point,°C,
CCCCCCOC,134.1,ECHA,Boiling point,°C,
CC(=O)CC(C)(C)C1CCCCC1,248,ECHA,Boiling point,°C,
NCCCn1ccnc1,296.41,GESTIS,Boiling point,°C,
CC1CC=CC(C)(C)C1,131,,Boiling point,°C,
CCP(=O)(CC)CC,243,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(C)(CBr)CBr,185,Handbook of chemistry and physics 2016,Boiling point,°C,
C[Si](Cl)(Cl)C1CCCCC1,206.05,ECHA,Boiling point,°C,
C[Si](C)(N=C=O)N=C=O,138.16667,,Boiling point,°C,
CC(=O)OCCCCCCOC(C)=O,260,,Boiling point,°C,
NC(=O)C1CC1,125,,Boiling point,°C,
CCC(=O)c1ccc2ccccc2c1,313,10.1021/acs.jcim.6b00625,Boiling point,°C,
O=c1c2cccc3cccc(c32)c2nc3cccc4cccc(c43)n12,535,ECHA,Boiling point,°C,
CC(C)(C)CC(=O)Cl,129,Handbook of chemistry and physics 2016,Boiling point,°C,
Clc1nc(N2CCCCC2)c2nc(Cl)nc(N3CCCCC3)c2n1,270,ECHA,Boiling point,°C,
NC(=O)CNCCS(=O)(=O)O,404.49,ECHA,Boiling point,°C,
CC(=O)OC(CC(C)C)CC(C)C,192.7,ECHA,Boiling point,°C,
C=COC(=O)c1ccc(C(C)(C)C)cc1,283.8,ECHA,Boiling point,°C,
CC(C)(C)CC(C)(C)c1ccc(Nc2ccc(C(C)(C)CC(C)(C)C)cc2)cc1,400,ECHA,Boiling point,°C,
CC(CC=O)c1ccccc1,228,ECHA,Boiling point,°C,
CO[Si](CC(C)C)(OC)C(C)C,177.6,ECHA,Boiling point,°C,
CCCCCCCCCCCCCCCCCCOCCCN(C)C,389.85,ECHA,Boiling point,°C,
C=C[Si]1(C)O[Si](C)(C=C)O[Si](C)(C=C)O[Si](C)(C=C)O[Si](C)(C=C)O1,261.5,,Boiling point,°C,
CO[Si](C)(CCCCl)OC,187,ECHA,Boiling point,°C,
CCCCCCCCCCCC[Si](C)(Cl)Cl,292,ECHA,Boiling point,°C,
CCCCCCOC(=O)CC,189.3,ECHA,Boiling point,°C,
CC(=O)NC(Cc1ccc(O)cc1)C(=O)O,530,PubChem,Boiling point,°C,
CC(C)c1ccc(C(C)C)c2ccccc12,293,,Boiling point,°C,
COc1ccc(OC)c(C)c1,214,Handbook of chemistry and physics 2016,Boiling point,°C,
O=Cc1cccc(O)c1O,235,Handbook of chemistry and physics 2016,Boiling point,°C,
FC1C(F)C(F)(F)C(F)(F)C(F)C1(F)F,101,,Boiling point,°C,
CCOC(=O)C1C(C)=CC(=O)CC1(C)C,278,ECHA,Boiling point,°C,
CC1=CC[C@@H](CC=O)C1(C)C,222.5,ECHA,Boiling point,°C,
CC1CCC(C)C(C)C1,144,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(C)CCOCCc1ccccc1,244,ECHA,Boiling point,°C,
CN1C(=O)c2ccc([N+](=O)[O-])cc2C1=O,361,AAT Bioquest,Boiling point,°C,
CCOC(=O)[C@H](C)O,154,ECHA,Boiling point,°C,
Nc1ccc(C=CC(=O)O)cc1,285,AAT Bioquest,Boiling point,°C,
CC(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1,240,ECHA,Boiling point,°C,
CCCCCCCCCCCCC(CO)CCCCCCCCCC,254,ECHA,Boiling point,°C,
CCOCOC1CCCCCCCCCCC1,290.1,ECHA,Boiling point,°C,
ClCC=Cc1ccccc1,108,AAT Bioquest,Boiling point,°C,
CCCCCCCCCNCCCCCCCCC,336,,Boiling point,°C,
CC(C)CNC(=O)c1ccccc1,295.5,,Boiling point,°C,
CC1CC(C)(C)OC(Cc2ccccc2)O1,267.7,ECHA,Boiling point,°C,
CCCC(O)c1ccccc1,232,,Boiling point,°C,
C1=CC2C3CCC(C3)C2C1,172.222,ECHA,Boiling point,°C,
Cc1ccc(C(C)C)c(O)c1O,264,,Boiling point,°C,
N#Cc1cccc(CBr)c1,130,ECHA,Boiling point,°C,
CC(=O)OC1CCCCC1C,186.2,ECHA,Boiling point,°C,
